"","country","ABBRV"
"1","Austria","AUT"
"2","Belgium","BEL"
"3","Cyprus",""
"4","Denmark","DNK"
"5","Estonia","EST"
"6","Finland","FIN"
"7","France","FRATNP"
"8","Germany (Berlin)",""
"9","Germany (Hesse)",""
"10","Greece","GRC"
"11","Hungary","HUN"
"12","Ireland","IRL"
"13","Israel","ISR"
"14","Italy","ITA"
"15","Luxembourg","LUX"
"16","Malta",""
"17","Netherlands","NLD"
"18","Norway","NOR"
"19","Portugal","PRT"
"20","Slovenia","SVN"
"21","Spain","ESP"
"22","Sweden","SWE"
"23","Switzerland","CHE"
"24","UK (England)","GBRCEAANW"
"25","UK (Northern Ireland)",""
"26","UK (Scotland)",""
"27","UK (Wales)",""
